Kommentaari ID,Kommentaar,Meelsus
4,"Väike, aga tubli firma!",Neutraalne
8,väga hea firma,Positiivne
10,"Viimasel ajal pole midagi halba öelda, aga samas ei konkureeri nad kuidagi Genneti, Ordiga ei hindadelt ega teeninduselt. Toorikute ja tindi ostmiseks samas hea koht ja kuna müüjaid on rohkem valima hakatud, siis võiks 2 ikka ära panna - tuleks 3 kui hinadele ei pandaks kirvest ja toodete saadavus oleks parem.",Negatiivne
11,"Fotode kvaliteet väga pro ja ""jjk"" seal töötamise ajal leiti ikka paljudele asjadele väga meeldivad lahendused. Samas hilisem läpaka ost sujus ka väga meeldivalt - sain esialgse rahas ostusoovi vormistada ümber järelmaksule...äärmiselt asjalik teenindus.",Positiivne
13,Ainult positiivsed kogemused,Positiivne
16,"Viimane kord, kui käisin suutis leti taga askeldav ~60 aastane mees tegutseda nii aeglaselt, et minu seal veedetud 10min jooksul pani juba vähemalt 6-7 klienti putku. Garantiiga ka kurvad kogemused, neid poleks, saaks isegi kahe vast. Vihaseks ajab lihtsalt vahest nende teenindus!",Negatiivne
17,Väga head hinnad!!!,Positiivne
18,Väga head hinnad!!!,Positiivne
20,"Olen ostnud sealt toorikuid, hea hind - abivalmis teenindus. Sai sealt ka üks Razeri hiir ostetud. Kogemus on hea.",Positiivne
22,"Midagi hullu nagu polegi, väiksemaid jubinaid ja värke kannatab osta, muud kraami aga nagu eriti ostma ei kipu. Eelkõige negatiivsete asjade pärast mis olen kogenud ja millest olen lugenud ning millest olen kuulnud :)",Negatiivne
23,"Olen Tartu esindustest ostnud probleemivabalt igasugu pudi-padi, teenindus on olnud neutraalne, ei midagi mainimistväärselt positiivset aga õnneks ka mitte negatiivset.",Positiivne
25,"kui tead mingit kindlat komponenti, mida vaja osta, siis K-salongide paljusus vähemalt Tallinnas tuleb kasuks, kusagil salongis ikka see jubin olemas on",Positiivne
26,Sülearvutite valik suur ja hinnad on soodsad,Positiivne
28,"Hinnad head, kaubavalik super, teeninuds annab soovida.",Positiivne
29,"Hinnad kallid, kaupa vähe, teenindus väga jube ja garantiid nagu ei olekski. Toorikute jaoks siiski hea koht.",Negatiivne
31,"Probleeme pole olnud, suhtlemine väga personaalsel tasemel. Hinnad ja asukoht jätavad aga soovida.",Positiivne
32,5+ Internetiteel on väga meeldiv tellida.,Positiivne
34,Tartusse tellimisel reedel tellitud kaup kolmapäeva hommikuks käes. Meilitsi teavitati kenasti kui kaup teele sai. ,Positiivne
35,tublid poisid- alati äri korralik ja viisakas.,Positiivne
36,"Palju kaupa kohapeal olemas, erinevalt mõnest muust firmast.",Positiivne
37,Teenindus võiks psotiivsem olla.,Positiivne
41,"Hinnad pole küll riigi parimad, kuid see eest on kaup alati kohapeal. Suured kiitused laborile.",Positiivne
42,väga vinge kollektsioon :-),Positiivne
43,"kallid hinnad, muidu tore pood :)",Positiivne
45,Teenindus on tõesti tibake jama...,Positiivne
46,Suht kahtlane koht. ,Negatiivne
47,Hinnad ja teenindus väga hea !,Positiivne
49,"Olen sealt tellinud kõvakettaid, videokaarte, mälu ja prosesid ning kõik on ilusti kohale toodud ja kõik on ka töötanud... Väga bueno koht see... Veebist saab ilusti tellida ja kui arve on üle 500kr, toovad tasuta kohale ka... 5(+)",Neutraalne
51,"mitte just kõige odavam, kuid kõigi nende 3 aasta jooksul, mil nende teenust kasutanud, pole kordagi ühtegi neist tulenevat probleemi esinenud, väga stabiilne teenusepakkuja !",Positiivne
53,Siiani olen kõik asjad aetud saanud. ise tead mida tahad siis ei ole ka probleemi,Positiivne
57,Sai teisp õhtul tellitud toode neljap. hommikul oli kuller uksetaga. soovitan.,Positiivne
58,"Hehhee, kes siis zorgile ja tema prosekollektsioonile head hinnet ei paneks",Positiivne
62,"Suur kaupade valik kohapeal olemas, kuigi hinnad suht kallid.",Positiivne
63,"Nõustun eelnevatega, kui tead mida vaja siis saab väga kenasti asjad kätte ja ei teki miskiseid liigseid probleeme. Kui aga kodune töö tegemata, siis kohapeal sa targemaks ei saa kohe kindlasti",Positiivne
65,"Sai neilt ostetud D-Fruit arvuti, mis oli isegi K-salongist soodsama hinnaga, kuid Asuse emaplaadil, Silicon Power mäluga ja üldse korralik ja kvaliteetne. Teeninduse ja IT osakonna sõbraliku suhtumisega ka väga rahul!",Positiivne
66,"Sealne teenindus on ikka väga halb. Tellisin omale sealt, ootasin nädal aega, ei midagi, helistasin sinna ja tuli välja, et vennad ei olnud isegi posti pannud. Kokku pidin ootama umbes 2 nädalat kuni kauba kätte sain. Hinnad võivad küll head olla, aga parem maksan ~100.- rohkem ja ostan mõnest teisest firmast ja saan asja õigel ajal kätte!",Negatiivne
67,"Teenindus on 5+, kaup jõudis minuni kiirelt. ",Positiivne
68,Veljo ja vabatahtlike abiga on Eesti tõusnud üheks suurima WiFi võrkude arvuga riigiks maailmas ja saavutanud edumeelse riigi maine!,Positiivne
69,"Tellisin jahutusi arvutile, jäin väga rahule, ainult eestikeel neil lonkas. Muidu väga hea on see, et teatatakse siis, kui kaup kohal on ja ka siis kui kaup teele pandi.",Positiivne
70,"Mul on ka lihtsamate komponentide ostmisega probleeme tekkinud, vanamees konkreetsel ei mõista ja ütleb, et tal pole toda asja, lasen siis järgi vaadata, üritan talle näidata, et lukus klaasriiulis on olemas, vana ei nõustu jne, garantii poolt tünga keeramised jätaks teiseks korraks",Neutraalne
71,"Paaril korral on saanud asju tellida,",Positiivne
72,"Väga hea firma, on kaua lahti, paljud asjad on koha peal olemas ja ka hinnad on vastuvõtlikud.",Positiivne
73,"Üldiselt hea firma, head hinnad, aga kaup võiks kiiremini kohale jõuda!",Neutraalne
74,"Mõned asjad ostnud. Viimati ostsin HDD, aga temperatuur oli liiga kõrge, arvuti jooksis kokku. Algul väideti et see normaalne ja tuleb paigaldada jahutus. Aga väikese vaidlemise peale võeti garantiise(aga öeldi et niikuinii saadetakse tagasi), lubati 2 nädala pärast helistada. Helistatigi 2 nädala pärast ja anti uus ketas. Teenindus võiks tõesti olla parem, aga kokkuvõttes täitsa norm pood. ",Positiivne
76,Kahjuks ka parima teeninduse oskavad mõned vennad tagumikku keerata.Nädala sees neil vist paremad tööl ja nädala lõpp ei kommi.,Negatiivne
78,"lol...""jututuba"" avatud...muidu ATF ist ostetud tänapäevaseks juba kuskil 10 toodet.",Positiivne
80,"Julgeks väita, et tegu on ühe parima teenindusega poega Eestis!",Positiivne
81,"Meeldiv teenindus, head hinnad.",Positiivne
82,"Head hinnad, konkreetne teenindus.",Positiivne
83,mul ka ainult positiivsed kogemused!,Positiivne
84,"jup, nõustun siin paljude teistega. Toorikute ja väiksema pudipadi jaoks hea koht. *alati lähedal vms* :p",Neutraalne
