number,suffix,pos,form,ending
([1-9][0-9]*)?1[1-9]$,,N,?,0
([1-9][0-9]*)?1[1-9]$,lt,N,sg abl,lt
([1-9][0-9]*)?1[1-9]$,l,N,sg ad,l
([1-9][0-9]*)?1[1-9]$,le,N,sg all,le
([1-9][0-9]*)?1[1-9]$,st,N,sg el,st
([1-9][0-9]*)?1[1-9]$,na,N,sg es,na
([1-9][0-9]*)?1[1-9]$,ne,N,sg g,0
([1-9][0-9]*)?1[1-9]$,sse,N,sg ill,sse
([1-9][0-9]*)?1[1-9]$,s,N,sg in,s
([1-9][0-9]*)?1[1-9]$,ga,N,sg kom,ga
([1-9][0-9]*)?1[1-9]$,ni,N,sg ter,ni
([1-9][0-9]*)?1[1-9]$,ks,N,sg tr,ks
([1-9][0-9]*)?1[1-9]$,ndatel,O,pl ad,tel
([1-9][0-9]*)?1[1-9]$,ndate,O,pl g,te
([1-9][0-9]*)?1[1-9]$,ndates,O,pl in,tes
([1-9][0-9]*)?1[1-9]$,ndad,O,pl n,d
([1-9][0-9]*)?1[1-9]$,ndaid,O,pl p,id
([1-9][0-9]*)?1[1-9]$,ndalt,O,sg abl,lt
([1-9][0-9]*)?1[1-9]$,ndal,O,sg ad,l
([1-9][0-9]*)?1[1-9]$,ndale,O,sg all,le
([1-9][0-9]*)?1[1-9]$,ndast,O,sg el,st
([1-9][0-9]*)?1[1-9]$,ndana,O,sg es,na
([1-9][0-9]*)?1[1-9]$,nda,O,sg g,0
([1-9][0-9]*)?1[1-9]$,ndasse,O,sg ill,sse
([1-9][0-9]*)?1[1-9]$,ndas,O,sg in,s
([1-9][0-9]*)?1[1-9]$,ndaga,O,sg kom,ga
([1-9][0-9]*)?1[1-9]$,ndat,O,sg p,t
([1-9][0-9]*)?1[1-9]$,ndani,O,sg ter,ni
([1-9][0-9]*)?1[1-9]$,ndaks,O,sg tr,ks
([1-9][0-9]*)?1[1-9]\.$,,O,?,0
([1-9][0-9]*)?[1-9]0$,,N,?,0
([1-9][0-9]*)?[1-9]0$,ta,N,sg ab,ta
([1-9][0-9]*)?[1-9]0$,lt,N,sg abl,lt
([1-9][0-9]*)?[1-9]0$,l,N,sg ad,l
([1-9][0-9]*)?[1-9]0$,le,N,sg all,le
([1-9][0-9]*)?[1-9]0$,st,N,sg el,st
([1-9][0-9]*)?[1-9]0$,na,N,sg es,na
([1-9][0-9]*)?[1-9]0$,ne,N,sg g,0
([1-9][0-9]*)?[1-9]0$,sse,N,sg ill,sse
([1-9][0-9]*)?[1-9]0$,s,N,sg in,s
([1-9][0-9]*)?[1-9]0$,ga,N,sg kom,ga
([1-9][0-9]*)?[1-9]0$,ni,N,sg ter,ni
([1-9][0-9]*)?[1-9]0$,ks,N,sg tr,ks
([1-9][0-9]*)?[1-9]0$,ndail,O,pl ad,il
([1-9][0-9]*)?[1-9]0$,ndatel,O,pl ad,tel
([1-9][0-9]*)?[1-9]0$,ndaile,O,pl all,ile
([1-9][0-9]*)?[1-9]0$,ndatele,O,pl all,tele
([1-9][0-9]*)?[1-9]0$,ndaist,O,pl el,ist
([1-9][0-9]*)?[1-9]0$,ndatest,O,pl el,test
([1-9][0-9]*)?[1-9]0$,ndate,O,pl g,te
([1-9][0-9]*)?[1-9]0$,ndaisse,O,pl ill,isse
([1-9][0-9]*)?[1-9]0$,ndatesse,O,pl ill,tesse
([1-9][0-9]*)?[1-9]0$,ndais,O,pl in,is
([1-9][0-9]*)?[1-9]0$,ndates,O,pl in,tes
([1-9][0-9]*)?[1-9]0$,ndatega,O,pl kom,tega
([1-9][0-9]*)?[1-9]0$,ndad,O,pl n,d
([1-9][0-9]*)?[1-9]0$,ndaid,O,pl p,id
([1-9][0-9]*)?[1-9]0$,ndateni,O,pl ter,teni
([1-9][0-9]*)?[1-9]0$,ndaiks,O,pl tr,iks
([1-9][0-9]*)?[1-9]0$,ndateks,O,pl tr,teks
([1-9][0-9]*)?[1-9]0$,ndalt,O,sg abl,lt
([1-9][0-9]*)?[1-9]0$,ndal,O,sg ad,l
([1-9][0-9]*)?[1-9]0$,ndale,O,sg all,le
([1-9][0-9]*)?[1-9]0$,ndast,O,sg el,st
([1-9][0-9]*)?[1-9]0$,ndana,O,sg es,na
([1-9][0-9]*)?[1-9]0$,nda,O,sg g,0
([1-9][0-9]*)?[1-9]0$,ndasse,O,sg ill,sse
([1-9][0-9]*)?[1-9]0$,ndas,O,sg in,s
([1-9][0-9]*)?[1-9]0$,ndaga,O,sg kom,ga
([1-9][0-9]*)?[1-9]0$,ndat,O,sg p,t
([1-9][0-9]*)?[1-9]0$,ndani,O,sg ter,ni
([1-9][0-9]*)?[1-9]0$,ndaks,O,sg tr,ks
([1-9][0-9]*)?[1-9]00$,,N,?,0
([1-9][0-9]*)?[1-9]00$,lt,N,sg abl,lt
([1-9][0-9]*)?[1-9]00$,l,N,sg ad,l
([1-9][0-9]*)?[1-9]00$,le,N,sg all,le
([1-9][0-9]*)?[1-9]00$,st,N,sg el,st
([1-9][0-9]*)?[1-9]00$,na,N,sg es,na
([1-9][0-9]*)?[1-9]00$,sse,N,sg ill,sse
([1-9][0-9]*)?[1-9]00$,s,N,sg in,s
([1-9][0-9]*)?[1-9]00$,ga,N,sg kom,ga
([1-9][0-9]*)?[1-9]00$,ni,N,sg ter,ni
([1-9][0-9]*)?[1-9]00$,ks,N,sg tr,ks
([1-9][0-9]*)?[1-9]00$,ndail,O,pl ad,il
([1-9][0-9]*)?[1-9]00$,ndatel,O,pl ad,tel
([1-9][0-9]*)?[1-9]00$,ndatest,O,pl el,test
([1-9][0-9]*)?[1-9]00$,ndate,O,pl g,te
([1-9][0-9]*)?[1-9]00$,ndad,O,pl n,d
([1-9][0-9]*)?[1-9]00$,ndal,O,sg ad,l
([1-9][0-9]*)?[1-9]00$,ndale,O,sg all,le
([1-9][0-9]*)?[1-9]00$,ndast,O,sg el,st
([1-9][0-9]*)?[1-9]00$,nda,O,sg g,0
([1-9][0-9]*)?[1-9]00$,ndat,O,sg p,t
([1-9][0-9]*)?[1-9]00$,ndaks,O,sg tr,ks
([1-9][0-9]*)?[1-9]00\.$,,O,?,0
([1-9][0-9]*)?[1-9]0\.$,,O,?,0
"([1-9][0-9]*)?[1-9]0{3,5}$",,N,?,0
"([1-9][0-9]*)?[1-9]0{3,5}$",ta,N,sg ab,ta
"([1-9][0-9]*)?[1-9]0{3,5}$",lt,N,sg abl,lt
"([1-9][0-9]*)?[1-9]0{3,5}$",l,N,sg ad,l
"([1-9][0-9]*)?[1-9]0{3,5}$",le,N,sg all,le
"([1-9][0-9]*)?[1-9]0{3,5}$",st,N,sg el,st
"([1-9][0-9]*)?[1-9]0{3,5}$",sse,N,sg ill,sse
"([1-9][0-9]*)?[1-9]0{3,5}$",s,N,sg in,s
"([1-9][0-9]*)?[1-9]0{3,5}$",ga,N,sg kom,ga
"([1-9][0-9]*)?[1-9]0{3,5}$",ni,N,sg ter,ni
"([1-9][0-9]*)?[1-9]0{3,5}$",ks,N,sg tr,ks
"([1-9][0-9]*)?[1-9]0{3,5}$",ndatel,O,pl ad,tel
"([1-9][0-9]*)?[1-9]0{3,5}$",ndate,O,pl g,te
"([1-9][0-9]*)?[1-9]0{3,5}$",ndad,O,pl n,d
"([1-9][0-9]*)?[1-9]0{3,5}$",ndal,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{3,5}$",nda,O,sg g,0
"([1-9][0-9]*)?[1-9]0{3,5}$",ndas,O,sg in,s
"([1-9][0-9]*)?[1-9]0{3,5}$",ndat,O,sg p,t
"([1-9][0-9]*)?[1-9]0{3,5}\.$",,O,?,0
"([1-9][0-9]*)?[1-9]0{6,8}(0{6}0*)?$",,N,?,0
"([1-9][0-9]*)?[1-9]0{6,8}(0{6}0*)?$",nda,O,sg g,0
"([1-9][0-9]*)?[1-9]0{9,11}$",,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))1$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))1$,ta,N,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))1$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))1$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))1$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))2$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))2$,ta,N,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))2$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))2$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))2$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))2$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))2$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))2$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))2$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))2$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))2$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))2$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))3$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))3$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))3$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))3$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))3$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))3$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))3$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))3$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))3$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))3$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))3$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndalt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))3$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))3$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))3\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))4$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))4$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))4$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))4$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))4$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))4$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))4$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))4$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))4$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))4$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))4$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndalt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))4$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))4$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))4\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))5$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))5$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))5$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))5$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))5$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))5$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))5$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))5$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))5$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))5$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))5$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndatele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndates,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndaid,O,pl p,id
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndalt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))5$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))5$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))5\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))6$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))6$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))6$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))6$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))6$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))6$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))6$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))6$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))6$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))6$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))6$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))6$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))6$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))6\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))7$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))7$,ta,N,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))7$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))7$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))7$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))7$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))7$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))7$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))7$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))7$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))7$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))7$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndates,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))7$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))7$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))7\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))8$,,N,?,0
(|[2-9]|([1-9][0-9]*[02-9]))8$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))8$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))8$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))8$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))8$,na,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))8$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))8$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))8$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))8$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))8$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndate,O,pl g,te
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndates,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndad,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndalt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))8$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))8$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))8\.$,,O,?,0
(|[2-9]|([1-9][0-9]*[02-9]))9$,lt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))9$,l,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))9$,le,N,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))9$,st,N,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))9$,sse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))9$,s,N,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))9$,ga,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))9$,ni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))9$,ks,N,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndail,O,pl ad,il
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndatele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndate,O,pl g,te
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndalt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndal,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndale,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndast,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndana,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))9$,nda,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndasse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndas,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndaga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndat,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndani,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))9$,ndaks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))9\.$,,O,?,0
0$,,N,?,0
0$,ta,N,sg ab,ta
0$,lt,N,sg abl,lt
0$,l,N,sg ad,l
0$,le,N,sg all,le
0$,st,N,sg el,st
0$,s,N,sg in,s
0$,ga,N,sg kom,ga
0$,ni,N,sg ter,ni
0$,ks,N,sg tr,ks
0$,ndate,O,pl g,te
0$,ndal,O,sg ad,l
0$,ndat,O,sg p,t
0\.$,,O,?,0
([1-9][0-9]*)?1[1-9]$,lt,O,sg abl,lt
([1-9][0-9]*)?1[1-9]$,l,O,sg ad,l
([1-9][0-9]*)?1[1-9]$,le,O,sg all,le
([1-9][0-9]*)?1[1-9]$,st,O,sg el,st
([1-9][0-9]*)?1[1-9]$,na,O,sg es,na
([1-9][0-9]*)?1[1-9]$,sse,O,sg ill,sse
([1-9][0-9]*)?1[1-9]$,s,O,sg in,s
([1-9][0-9]*)?1[1-9]$,ga,O,sg kom,ga
([1-9][0-9]*)?1[1-9]$,ni,O,sg ter,ni
([1-9][0-9]*)?1[1-9]$,ks,O,sg tr,ks
([1-9][0-9]*)?[1-9]0$,ta,O,sg ab,ta
([1-9][0-9]*)?[1-9]0$,lt,O,sg abl,lt
([1-9][0-9]*)?[1-9]0$,l,O,sg ad,l
([1-9][0-9]*)?[1-9]0$,le,O,sg all,le
([1-9][0-9]*)?[1-9]0$,st,O,sg el,st
([1-9][0-9]*)?[1-9]0$,na,O,sg es,na
([1-9][0-9]*)?[1-9]0$,sse,O,sg ill,sse
([1-9][0-9]*)?[1-9]0$,s,O,sg in,s
([1-9][0-9]*)?[1-9]0$,ga,O,sg kom,ga
([1-9][0-9]*)?[1-9]0$,ni,O,sg ter,ni
([1-9][0-9]*)?[1-9]0$,ks,O,sg tr,ks
([1-9][0-9]*)?[1-9]00$,lt,O,sg abl,lt
([1-9][0-9]*)?[1-9]00$,l,O,sg ad,l
([1-9][0-9]*)?[1-9]00$,le,O,sg all,le
([1-9][0-9]*)?[1-9]00$,st,O,sg el,st
([1-9][0-9]*)?[1-9]00$,na,O,sg es,na
([1-9][0-9]*)?[1-9]00$,sse,O,sg ill,sse
([1-9][0-9]*)?[1-9]00$,s,O,sg in,s
([1-9][0-9]*)?[1-9]00$,ga,O,sg kom,ga
([1-9][0-9]*)?[1-9]00$,ni,O,sg ter,ni
([1-9][0-9]*)?[1-9]00$,ks,O,sg tr,ks
"([1-9][0-9]*)?[1-9]0{3,5}$",ta,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{3,5}$",lt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{3,5}$",l,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{3,5}$",le,O,sg all,le
"([1-9][0-9]*)?[1-9]0{3,5}$",st,O,sg el,st
"([1-9][0-9]*)?[1-9]0{3,5}$",sse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{3,5}$",s,O,sg in,s
"([1-9][0-9]*)?[1-9]0{3,5}$",ga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{3,5}$",ni,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{3,5}$",ks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))1$,ta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1$,lt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1$,l,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1$,le,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))1$,st,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))1$,na,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1$,sse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1$,s,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))1$,ga,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1$,ni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1$,ks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))2$,ta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))2$,lt,O,sg abl,lt
